学生番号,(1)電圧V3,(2)電圧V2,(3 )電圧V2,(4)電圧V1
001,1.33,1.25,1.44,1.61
002,1.36,1.29,1.37,1.61
003,1.4,1.33,1.31,1.61
004,1.42,1.36,1.25,1.61
005,1.45,1.4,1.2,1.61
006,1.48,1.42,1.15,1.61
007,1.5,1.45,1.1,1.61
008,1.52,1.48,1.06,1.61
009,1.54,1.5,1.02,1.61
010,1.34,1.25,1.58,1.67
011,1.38,1.3,1.49,1.67
012,1.42,1.34,1.42,1.67
013,1.45,1.38,1.35,1.67
014,1.48,1.42,1.29,1.67
015,1.51,1.45,1.24,1.67
016,1.53,1.48,1.19,1.67
017,1.55,1.51,1.14,1.67
018,1.58,1.53,1.09,1.67
019,1.6,1.55,1.05,1.67
020,1.39,1.3,1.63,1.73
021,1.43,1.35,1.55,1.73
022,1.47,1.39,1.47,1.73
023,1.5,1.43,1.4,1.73
024,1.53,1.47,1.34,1.73
025,1.56,1.5,1.28,1.73
026,1.59,1.53,1.23,1.73
027,1.61,1.56,1.18,1.73
028,1.64,1.59,1.13,1.73
029,1.66,1.61,1.09,1.73
030,1.45,1.36,1.69,1.79
031,1.49,1.41,1.6,1.79
032,1.53,1.45,1.52,1.79
033,1.56,1.49,1.45,1.79
034,1.6,1.53,1.39,1.79
035,1.62,1.56,1.33,1.79
036,1.65,1.6,1.27,1.79
037,1.68,1.62,1.22,1.79
038,1.7,1.65,1.17,1.79
039,1.72,1.68,1.13,1.79
040,1.52,1.42,1.76,1.86
041,1.56,1.47,1.67,1.86
042,1.6,1.52,1.58,1.86
043,1.63,1.56,1.51,1.86
044,1.66,1.6,1.44,1.86
045,1.69,1.63,1.38,1.86
046,1.72,1.66,1.32,1.86
047,1.74,1.69,1.26,1.86
048,1.77,1.72,1.22,1.86
049,1.79,1.74,1.17,1.86
050,1.59,1.49,1.83,1.94
051,1.63,1.54,1.73,1.94
052,1.67,1.59,1.65,1.94
053,1.7,1.63,1.57,1.94
054,1.73,1.67,1.49,1.94
055,1.76,1.7,1.43,1.94
056,1.79,1.73,1.37,1.94
057,1.82,1.76,1.31,1.94
058,1.84,1.79,1.26,1.94
059,1.86,1.82,1.21,1.94
060,1.66,1.56,1.91,2.02
061,1.7,1.61,1.81,2.02
062,1.74,1.66,1.71,2.02
063,1.78,1.7,1.63,2.02
064,1.81,1.74,1.56,2.02
065,1.84,1.78,1.49,2.02
066,1.87,1.81,1.42,2.02
067,1.9,1.84,1.37,2.02
068,1.92,1.87,1.31,2.02
069,1.95,1.9,1.26,2.02
070,1.74,1.64,1.99,2.11
071,1.79,1.69,1.88,2.11
072,1.83,1.74,1.79,2.11
073,1.87,1.79,1.7,2.11
074,1.9,1.83,1.62,2.11
075,1.93,1.87,1.55,2.11
076,1.96,1.9,1.48,2.11
077,1.99,1.93,1.42,2.11
078,2.01,1.96,1.37,2.11
079,2.03,1.99,1.31,2.11
080,1.84,1.73,2.08,2.21
081,1.88,1.79,1.97,2.21
082,1.92,1.84,1.87,2.21
083,1.96,1.88,1.78,2.21
084,2,1.92,1.69,2.21
085,2.03,1.96,1.62,2.21
086,2.06,2,1.55,2.21
087,2.08,2.03,1.48,2.21
088,2.11,2.06,1.43,2.21
089,2.13,2.08,1.37,2.21
090,1.94,1.83,2.18,2.32
091,1.98,1.89,2.06,2.32
092,2.03,1.94,1.96,2.32
093,2.07,1.98,1.86,2.32
094,2.1,2.03,1.77,2.32
095,2.13,2.07,1.69,2.32
096,2.16,2.1,1.62,2.32
097,2.19,2.13,1.55,2.32
098,2.22,2.16,1.49,2.32
099,2.24,2.19,1.43,2.32
100,1.2,1.1,1.51,1.6
101,1.25,1.15,1.43,1.6
102,1.29,1.2,1.35,1.6
103,1.33,1.25,1.29,1.6
104,1.36,1.29,1.23,1.6
105,1.4,1.33,1.18,1.6
106,1.42,1.36,1.13,1.6
107,1.45,1.4,1.08,1.6
108,1.48,1.42,1.04,1.6
109,1.5,1.45,1,1.6
110,1.25,1.14,1.56,1.65
111,1.3,1.2,1.48,1.65
112,1.34,1.25,1.4,1.65
113,1.38,1.3,1.33,1.65
114,1.42,1.34,1.27,1.65
115,1.45,1.38,1.22,1.65
116,1.48,1.42,1.16,1.65
117,1.51,1.45,1.12,1.65
118,1.53,1.48,1.07,1.65
119,1.55,1.51,1.03,1.65
120,1.3,1.19,1.61,1.71
121,1.35,1.25,1.53,1.71
122,1.39,1.3,1.45,1.71
123,1.43,1.35,1.38,1.71
124,1.47,1.39,1.32,1.71
125,1.5,1.43,1.26,1.71
126,1.53,1.47,1.2,1.71
127,1.56,1.5,1.16,1.71
128,1.59,1.53,1.11,1.71
129,1.61,1.56,1.07,1.71
130,1.36,1.24,1.68,1.78
131,1.41,1.3,1.58,1.78
132,1.45,1.36,1.5,1.78
133,1.49,1.41,1.43,1.78
134,1.53,1.45,1.36,1.78
135,1.56,1.49,1.3,1.78
136,1.6,1.53,1.25,1.78
137,1.62,1.56,1.2,1.78
138,1.65,1.6,1.15,1.78
139,1.68,1.62,1.11,1.78
140,1.42,1.3,1.74,1.85
141,1.47,1.36,1.65,1.85
142,1.52,1.42,1.56,1.85
143,1.56,1.47,1.48,1.85
144,1.6,1.52,1.42,1.85
145,1.63,1.56,1.35,1.85
146,1.66,1.6,1.29,1.85
147,1.69,1.63,1.24,1.85
148,1.72,1.66,1.19,1.85
149,1.74,1.69,1.15,1.85
150,1.49,1.36,1.81,1.92
151,1.54,1.43,1.71,1.92
152,1.59,1.49,1.62,1.92
